block_id,hash,time,size,weight,version,lock_time,is_coinbase,has_witness,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,fee_per_kwu,fee_per_kwu_usd,cdd_total
37579,e0d7d7bbe07810edc15ca7e8c28fb694a397f2d5cd24ee68b26abd034363bc13,2010-02-01 11:09:18,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37580,86f17ca85e42958d1efa18248a200f8ab88888ad3014e40eacf7d086eca7abcc,2010-02-01 11:19:45,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37581,b77d3c2aaed3a4f5f4b9abc1666a7730a0e33e85dc3d73f7186a1689b19d0a29,2010-02-01 11:23:37,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37582,3ce1f18133bebe19542461458e58eefc121513be5b221476d6d9d5703cb1b3b7,2010-02-01 11:32:51,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37583,e178d124fd8fe71aa43702341d09e279cbd6aabcd813cddb1207f9e62d73d0f4,2010-02-01 11:41:01,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37584,9dccd093c17d8b3ca40918ac1f9fa44e8c4e93a07ddb03c91b0befe7b1611007,2010-02-01 11:44:12,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37585,e9e7b6e8ba333325084a22d9f241789068a4f1215324182e79b1e2a2c0da036e,2010-02-01 12:02:26,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37586,a7075c2724373095de783b4c0d2007c1dba9dda6496709a761a87d1d6ac4fc39,2010-02-01 12:08:19,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37587,1757800fdb08f1b7f5a2e36904e03a4bf006024401abaebc8b5820824f87a874,2010-02-01 12:13:48,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37588,0005baac70905d860db626bc5e2acf14f2174afc0a23b1e5e0484893718c8856,2010-02-01 12:18:30,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37589,d8ce78f61f1e83442e5085d70cff6707ade2218aad846a1936ebb66b50999be8,2010-02-01 12:27:04,134,536,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
37590,58995618cd2ed370e337ecbde2c83c47d595ca239063685fb0aa801d3cf0bc11,2010-02-01 12:31:16,135,540,1,0,1,0,1,1,0,0,5000000000,0.5,0,0,0,0,0,0,0
