block_id,transaction_hash,index,time,value,value_usd,recipient,type,script_hex,is_from_coinbase,is_spendable
38118,4dafd23613df580eb9ccde1307d52b7d9f9d2b28c5236ea6c7d9b1017ef38579,0,2010-02-04 03:25:29,5000000000,0.5,19WiKdJ9BCKVT93iK8rJWeHa574aaNDFiY,pubkey,410457199bdeb2f47163116077a5b3f3d5fa0522e1557d1fd6b733f4c76a1822cead8eecc5f6a9cf57cb4c660a04527fbc655c2f1c6bf235f457c88cf10536c29fcbac,1,1
38119,f1dd82872efeecdc404d03297df4e718acf4f6e42d2119172158ad17e419feb8,0,2010-02-04 03:32:55,5000000000,0.5,1EwPSvUeLyd8enn3TKD8tX8Tg3PXhFFYMt,pubkey,4104461d151256538293e252b65222c1b936aa713c4c8228a385e09f9b305131b0209a894c699d1bfcd9c35f2290af252e33be65dfd5b1d15b9def143ce75ccbca62ac,1,1
38120,b1ee73dc6454edef91fc39c132ee7b29ad31da604e993f2d23a3a0be85cc0559,0,2010-02-04 03:33:10,5000000000,0.5,1FWnsbFFXhk74u3cAk718Vtay3T1MpwBBi,pubkey,4104937fd637f2ba0baf7f8e843c783367d8c07a70260e0a9f975ca8bfcecb94db4597cb37ef6a96b14d36bda18678450fdc1ea3ffa0e371c3e46b5a1c0ef8ad43bbac,1,1
38121,350f8e4575257bf424d066d26c22abf3a9a5b0235712179d88f93d387cd60f80,0,2010-02-04 03:34:41,5000000000,0.5,18aMK2n69Qe8VoQirXQuoyeK715oZKyKM9,pubkey,4104095b384ec067b338f29bb001368ea4a79af45f62a878ba4c041bce61895bf19f05f223ac9366f51f7b93ad869706e7fa5e7b1e1457d41105ef7983790652c345ac,1,1
38122,92de27a60714882276716c8717753af4d3d24b4dd0ed65e280789f4b53b0318a,0,2010-02-04 03:41:21,5000000000,0.5,1B2ddRUpsEvpC6LzjhvVyGYKHC9esAMGYR,pubkey,4104577af499d8c1a492e3e92ff3249d32b582b28d880e051fa8d2060455577163363c025b38eaab976c5cc968f2186b2ec4d4aa8717766f29578906ceae4ab3f0e8ac,1,1
38123,73ec936bbd0cc79c8b5c022062bbe6b6e6a3fd5e4681283c7f66dfe9543bf591,0,2010-02-04 03:43:22,5000000000,0.5,1Jwg9674iCtN1KPyHPGc7VrGcmHbsrHYW,pubkey,4104b64f4dd96e33d947f5ffbdec6a321f6adfbc7daeff4193c353e7e87d1793143a28156480c2ed07a369c01773aa7924b019cd5ac8104bf7b91706bea376f6dda3ac,1,1
38124,6e4e087da5e3295202dffa97e3cc47b4cb52a93f4e3ad9996bdb9c4b3fb19921,0,2010-02-04 04:00:05,5000000000,0.5,1CygJ7Coaau9MFz8cTLq3qc1BSBQGsY2Wu,pubkey,410491f81eac7813b22c79d9f79981068179280532fc31d4d8f532db04fd423d93c86c19eec542a458fde891fc6ed7a2dc3aa16dff0c4f883b3daf3bbab29a8a1b70ac,1,1
38125,2073ecceb23bec7928031441cb18c3b453966b8211199af723ce006e0a8118ab,0,2010-02-04 04:06:18,5000000000,0.5,1K7aKTuGGHsVme7aowxC59AZmm7HJ8xX3D,pubkey,4104061ff45138ae2f47c8375608fc1ab3125b1ad23b6640aeeed281d1fe104247078cb8c7d51dac45fc9b0c6632a1fec43e40b340573c048331d4e28a1b0a605515ac,1,1
38126,13f2fa5f74dcd863f9faa4edf7306b249ed1c8e05e0967ecf226c0dd7504dd32,0,2010-02-04 04:08:49,5000000000,0.5,12ZHnBV4RJevajwBfma13erThpNbL7q5QQ,pubkey,4104c616d8f87ae9e01f8ef75204d76f696a15fdc547f78ce15efdc6523df3bcc795a95ff998fecb1cfa8919b134343e806ff33223ec75c3f88de5e54d2feb9864f0ac,1,1
38127,43033ea2f27dabf630a3c23072327e8d0dbffcd9badfa76206896888cab4a944,0,2010-02-04 04:15:53,5000000000,0.5,1AAJUzKV5dKWrUC3jeqpJnwJ2PWa7jYsoR,pubkey,4104f73d0340653274f5dc24737a96fccc02dd462d5255270ad1910bbd0db9b7cbe84ca2e021bdc89ee958d1f61ec3afb7a7e71644dd44f258444b56fcab768572afac,1,1
